State.Code,County.Code,Site.Num,State,County,City,Date.Local,NO2.Units,NO2.Mean,O3.Units,O3.Mean,SO2.Units,SO2.Mean,CO.Units,CO.Mean
1,73,23,Alabama,Jefferson,Birmingham,07-02-16,Parts per billion,16.616667,Parts per million,0.022042,Parts per billion,1.136364,Parts per million,0.329167
1,73,23,Alabama,Jefferson,Birmingham,07-02-16,Parts per billion,16.616667,Parts per million,0.022042,Parts per billion,1.142857,Parts per million,0.304091
1,73,23,Alabama,Jefferson,Birmingham,07-02-16,Parts per billion,16.616667,Parts per million,0.022042,Parts per billion,1.142857,Parts per million,0.329167
1,73,23,Alabama,Jefferson,Birmingham,08-02-16,Parts per billion,10.281818,Parts per million,0.030833,Parts per billion,0.465,Parts per million,0.175625
1,73,23,Alabama,Jefferson,Birmingham,08-02-16,Parts per billion,10.281818,Parts per million,0.030833,Parts per billion,0.465,Parts per million,0.233333
1,73,23,Alabama,Jefferson,Birmingham,08-02-16,Parts per billion,10.281818,Parts per million,0.030833,Parts per billion,0.366667,Parts per million,0.175625
1,73,23,Alabama,Jefferson,Birmingham,08-02-16,Parts per billion,10.281818,Parts per million,0.030833,Parts per billion,0.366667,Parts per million,0.233333
1,73,23,Alabama,Jefferson,Birmingham,09-02-16,Parts per billion,4.245833,Parts per million,0.029625,Parts per billion,0.531818,Parts per million,0.137727
1,73,23,Alabama,Jefferson,Birmingham,09-02-16,Parts per billion,4.245833,Parts per million,0.029625,Parts per billion,0.531818,Parts per million,0.1625
1,73,23,Alabama,Jefferson,Birmingham,09-02-16,Parts per billion,4.245833,Parts per million,0.029625,Parts per billion,0.514286,Parts per million,0.137727
1,73,23,Alabama,Jefferson,Birmingham,09-02-16,Parts per billion,4.245833,Parts per million,0.029625,Parts per billion,0.514286,Parts per million,0.1625
1,73,23,Alabama,Jefferson,Birmingham,10-02-16,Parts per billion,12.5875,Parts per million,0.020958,Parts per billion,1.459091,Parts per million,0.218182
1,73,23,Alabama,Jefferson,Birmingham,10-02-16,Parts per billion,12.5875,Parts per million,0.020958,Parts per billion,1.459091,Parts per million,0.166667
1,73,23,Alabama,Jefferson,Birmingham,10-02-16,Parts per billion,12.5875,Parts per million,0.020958,Parts per billion,1.471429,Parts per million,0.218182
1,73,23,Alabama,Jefferson,Birmingham,10-02-16,Parts per billion,12.5875,Parts per million,0.020958,Parts per billion,1.471429,Parts per million,0.166667
1,73,23,Alabama,Jefferson,Birmingham,11-02-16,Parts per billion,21.538095,Parts per million,0.023375,Parts per billion,3.554545,Parts per million,0.267273
1,73,23,Alabama,Jefferson,Birmingham,11-02-16,Parts per billion,21.538095,Parts per million,0.023375,Parts per billion,3.554545,Parts per million,0.2875
1,73,23,Alabama,Jefferson,Birmingham,11-02-16,Parts per billion,21.538095,Parts per million,0.023375,Parts per billion,3.371429,Parts per million,0.267273
1,73,23,Alabama,Jefferson,Birmingham,11-02-16,Parts per billion,21.538095,Parts per million,0.023375,Parts per billion,3.371429,Parts per million,0.2875
1,73,23,Alabama,Jefferson,Birmingham,12-02-16,Parts per billion,8.41,Parts per million,0.032875,Parts per billion,1.845455,Parts per million,0.175
1,73,23,Alabama,Jefferson,Birmingham,12-02-16,Parts per billion,8.41,Parts per million,0.032875,Parts per billion,1.845455,Parts per million,0.195833
1,73,23,Alabama,Jefferson,Birmingham,12-02-16,Parts per billion,8.41,Parts per million,0.032875,Parts per billion,1.8,Parts per million,0.175
1,73,23,Alabama,Jefferson,Birmingham,12-02-16,Parts per billion,8.41,Parts per million,0.032875,Parts per billion,1.8,Parts per million,0.195833
1,73,23,Alabama,Jefferson,Birmingham,13-02-16,Parts per billion,3.295833,Parts per million,0.032625,Parts per billion,0.85,Parts per million,0.132273
1,73,23,Alabama,Jefferson,Birmingham,13-02-16,Parts per billion,3.295833,Parts per million,0.032625,Parts per billion,0.85,Parts per million,0.116667
1,73,23,Alabama,Jefferson,Birmingham,13-02-16,Parts per billion,3.295833,Parts per million,0.032625,Parts per billion,0.8,Parts per million,0.132273
1,73,23,Alabama,Jefferson,Birmingham,13-02-16,Parts per billion,3.295833,Parts per million,0.032625,Parts per billion,0.8,Parts per million,0.116667
1,73,23,Alabama,Jefferson,Birmingham,14-02-16,Parts per billion,6.783333,Parts per million,0.035167,Parts per billion,1,Parts per million,0.145
1,73,23,Alabama,Jefferson,Birmingham,14-02-16,Parts per billion,6.783333,Parts per million,0.035167,Parts per billion,1,Parts per million,0.1375
1,73,23,Alabama,Jefferson,Birmingham,14-02-16,Parts per billion,6.783333,Parts per million,0.035167,Parts per billion,0.914286,Parts per million,0.145
1,73,23,Alabama,Jefferson,Birmingham,14-02-16,Parts per billion,6.783333,Parts per million,0.035167,Parts per billion,0.914286,Parts per million,0.1375
1,73,23,Alabama,Jefferson,Birmingham,15-02-16,Parts per billion,8.758333,Parts per million,0.026294,Parts per billion,0.84,Parts per million,0.167
1,73,23,Alabama,Jefferson,Birmingham,15-02-16,Parts per billion,8.758333,Parts per million,0.026294,Parts per billion,0.84,Parts per million,0.2
1,73,23,Alabama,Jefferson,Birmingham,15-02-16,Parts per billion,8.758333,Parts per million,0.026294,Parts per billion,0.583333,Parts per million,0.167
